,segment_id,chromosome,start,end,file_path,t1,t2,t3,averaged,solved,fully_solved,t1_norm,t2_norm,t3_norm,t1_norm_cumsum,t2_norm_cumsum,t3_norm_cumsum,major,minor,breakpoints,seg_length
0,chr1:83376-38366860,chr1,83376,38366860,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,15,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],38283484
1,chr1:40024753-116267799,chr1,40024753,116267799,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,11,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],76243046
2,chr1:146473001-158423773,chr1,146473001,158423773,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_1.1_solutions_downsized.sobj,0,8/3,,False,True,False,0.0,1.0,,0.0,1.0,,2,1,"[0.0, 1.0]",11950772
3,chr1:175584958-213283089,chr1,175584958,213283089,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,7,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],37698131
4,chr1:229342348-248956422,chr1,229342348,248956422,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_2.1_solutions_downsized.sobj,1.5,1.0,0.5,True,True,False,0.5,0.3333333333333333,0.16666666666666666,0.5,0.8333333333333333,0.9999999999999999,2,2,"[0.5, 0.8333333333333333, 0.9999999999999999]",19614074
5,chr2:1-31606178,chr2,1,31606178,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,3,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],31606177
6,chr2:74317198-96522714,chr2,74317198,96522714,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,8,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],22205516
7,chr2:106946501-129119000,chr2,106946501,129119000,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,10,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],22172499
8,chr2:129119001-150830744,chr2,129119001,150830744,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_1.1_solutions_downsized.sobj,5/2,,,False,True,False,1.0,,,1.0,,,1,1,[1.0],21711743
9,chr2:153940461-172106131,chr2,153940461,172106131,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,5,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],18165670
10,chr2:172542561-230940136,chr2,172542561,230940136,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,5,3,,False,True,False,0.625,0.375,,0.625,1.0,,2,0,"[0.625, 1.0]",58397575
11,chr3:852736-40186776,chr3,852736,40186776,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//2_0.1_solutions_downsized.sobj,7,0,,False,True,False,1.0,0.0,,1.0,1.0,,2,0,"[1.0, 1.0]",39334040
12,chr3:40200618-81861311,chr3,40200618,81861311,/n/data1/hms/dbmi/park/jbrew/Tau/downsized_solutions//1_0.1_solutions_downsized.sobj,9,,,False,True,False,1.0,,,1.0,,,1,0,[1.0],41660693
